State,Month,2019_rate,2020_rate,%_dif
AK,Jan,2.46,2.95,0.4900000000000002
AK,Feb,2.62,2.75,0.1299999999999999
AK,Mar,2.79,2.6,-0.18999999999999995
AK,Apr,2.7,2.66,-0.040000000000000036
AK,May,2.87,2.84,-0.03000000000000025
AL,Jan,1.38,1.42,0.040000000000000036
AL,Feb,1.34,1.43,0.08999999999999986
AL,Mar,1.33,1.47,0.1399999999999999
AL,Apr,1.33,1.51,0.17999999999999994
AL,May,1.33,1.58,0.25
AR,Jan,1.4,1.14,-0.26
AR,Feb,1.43,1.14,-0.29000000000000004
AR,Mar,1.37,1.19,-0.18000000000000016
AR,Apr,1.35,1.25,-0.10000000000000009
AR,May,1.28,1.28,0.0
AZ,Jan,2.9,3.31,0.41000000000000014
AZ,Feb,2.94,3.34,0.3999999999999999
AZ,Mar,2.96,3.37,0.41000000000000014
AZ,Apr,2.96,3.41,0.4500000000000002
AZ,May,2.97,3.48,0.5099999999999998
CA,Jan,2.07,2.39,0.3200000000000003
CA,Feb,2.08,2.42,0.33999999999999986
CA,Mar,2.11,2.47,0.3600000000000003
CA,Apr,2.14,2.5,0.3599999999999999
CA,May,2.17,2.55,0.3799999999999999
CO,Jan,2.54,2.78,0.23999999999999977
CO,Feb,2.56,2.79,0.22999999999999998
CO,Mar,2.53,2.89,0.3600000000000003
CO,Apr,2.54,2.93,0.3900000000000001
CO,May,2.52,3.05,0.5299999999999998
CT,Jan,3.48,3.94,0.45999999999999996
CT,Feb,3.44,3.96,0.52
CT,Mar,3.41,3.96,0.5499999999999998
CT,Apr,3.43,3.75,0.31999999999999984
CT,May,3.47,3.59,0.11999999999999966
DE,Jan,4.27,4.62,0.35000000000000053
DE,Feb,4.28,4.8,0.5199999999999996
DE,Mar,4.21,4.84,0.6299999999999999
DE,Apr,4.24,4.75,0.5099999999999998
DE,May,4.37,4.66,0.29000000000000004
FL,Jan,2.39,2.68,0.29000000000000004
FL,Feb,2.4,2.73,0.33000000000000007
FL,Mar,2.41,2.81,0.3999999999999999
FL,Apr,2.42,2.9,0.48
FL,May,2.39,3.06,0.6699999999999999
GA,Jan,1.63,1.6,-0.029999999999999805
GA,Feb,1.64,1.63,-0.010000000000000009
GA,Mar,1.62,1.64,0.019999999999999796
GA,Apr,1.62,1.68,0.05999999999999983
GA,May,1.63,1.71,0.08000000000000007
HI,Jan,1.94,1.99,0.050000000000000044
HI,Feb,1.96,1.91,-0.050000000000000044
HI,Mar,1.95,1.99,0.040000000000000036
HI,Apr,1.9,2.04,0.14000000000000012
HI,May,1.88,2.19,0.31000000000000005
IA,Jan,0.93,1.12,0.19000000000000006
IA,Feb,0.93,1.17,0.23999999999999988
IA,Mar,0.92,1.21,0.2899999999999999
IA,Apr,0.95,1.25,0.30000000000000004
IA,May,0.96,1.26,0.30000000000000004
ID,Jan,1.77,1.83,0.06000000000000005
ID,Feb,1.84,1.79,-0.050000000000000044
ID,Mar,1.87,1.73,-0.14000000000000012
ID,Apr,1.83,1.72,-0.1100000000000001
ID,May,1.81,1.79,-0.020000000000000018
IL,Jan,2.55,2.67,0.1200000000000001
IL,Feb,2.52,2.75,0.22999999999999998
IL,Mar,2.49,2.8,0.3099999999999996
IL,Apr,2.47,2.83,0.3599999999999999
IL,May,2.5,2.86,0.3599999999999999
IN,Jan,2.44,2.62,0.18000000000000016
IN,Feb,2.44,2.66,0.2200000000000002
IN,Mar,2.46,2.66,0.20000000000000018
IN,Apr,2.44,2.72,0.28000000000000025
IN,May,2.45,2.82,0.36999999999999966
KS,Jan,1.32,1.44,0.11999999999999988
KS,Feb,1.38,1.42,0.040000000000000036
KS,Mar,1.38,1.44,0.06000000000000005
KS,Apr,1.4,1.41,0.010000000000000009
KS,May,1.41,1.43,0.020000000000000018
KY,Jan,2.8,2.8,0.0
KY,Feb,2.76,2.88,0.1200000000000001
KY,Mar,2.77,2.95,0.18000000000000016
KY,Apr,2.76,3.05,0.29000000000000004
KY,May,2.79,3.31,0.52
LA,Jan,2.56,2.88,0.31999999999999984
LA,Feb,2.54,2.88,0.33999999999999986
LA,Mar,2.47,2.94,0.46999999999999975
LA,Apr,2.46,2.97,0.5100000000000002
LA,May,2.47,3.11,0.6399999999999997
MA,Jan,3.7,3.71,0.009999999999999787
MA,Feb,3.69,3.74,0.050000000000000266
MA,Mar,3.72,3.71,-0.010000000000000231
MA,Apr,3.72,3.48,-0.2400000000000002
MA,May,3.69,3.38,-0.31000000000000005
MD,Jan,4.79,4.62,-0.16999999999999993
MD,Feb,4.73,4.66,-0.07000000000000028
MD,Mar,4.68,4.69,0.010000000000000675
MD,Apr,4.63,4.51,-0.1200000000000001
