state,new_case,tot_cases,new_death,tot_death
AL,0,0,0,0
AL,0,0,0,0
AL,999,999,13,13
AL,6307,7306,267,280
AL,10939,18245,352,632
AL,19819,38064,315,947
AL,49803,87867,634,1581
AL,38191,126058,601,2182
AL,28643,154701,358,2540
AL,37584,192285,427,2967
AL,18352,210637,246,3213
AR,0,0,0,0
AR,0,0,0,0
AR,560,560,8,8
AR,2695,3255,53,61
AR,3998,7253,72,133
AR,13524,20777,137,270
AR,21734,42511,183,453
AR,18713,61224,344,797
AR,22473,83697,572,1369
AR,28493,112190,556,1925
AR,15816,128006,219,2144
AZ,1,1,0,0
AZ,0,1,0,0
AZ,1288,1289,24,24
AZ,6359,7648,296,320
AZ,12288,19936,586,906
AZ,59279,79215,726,1632
AZ,94795,174010,2062,3694
AZ,27825,201835,1335,5030
AZ,16672,218507,621,5650
AZ,27439,245946,329,5979
AZ,20616,266562,261,6240
CA,3,3,0,0
CA,9,12,0,0
CA,8119,8131,172,172
CA,40786,48917,1810,1982
CA,61666,110583,2231,4213
CA,112334,222917,1767,5980
CA,270671,493588,3025,9005
CA,210497,704085,3928,12933
CA,106540,810625,2859,15792
CA,111380,922005,1834,17626
CA,69604,991609,482,18108
CO,0,0,0,0
CO,0,0,0,0
CO,2966,2966,69,69
CO,12216,15182,708,777
CO,11196,26378,668,1445
CO,6337,32715,245,1690
CO,14094,46809,148,1838
CO,10615,57424,107,1945
CO,13112,70536,106,2051
CO,36814,107350,234,2285
CO,40249,147599,183,2468
CT,0,0,0,0
CT,0,0,0,0
CT,3128,3128,69,69
CT,24572,27700,2188,2257
CT,14501,42201,1687,3944
CT,4313,46514,378,4322
CT,3296,49810,110,4432
CT,3069,52879,33,4465
CT,4671,57550,43,4508
CT,13657,71207,108,4616
CT,14692,85899,110,4726
DE,0,0,0,0
DE,0,0,0,0
DE,319,319,10,10
DE,4415,4734,142,152
DE,4872,9606,217,369
DE,1904,11510,140,509
DE,3367,14877,76,585
DE,2658,17535,20,605
DE,3078,20613,31,636
DE,4513,25126,74,710
DE,2420,27546,22,732
FL,0,0,0,0
FL,0,0,0,0
FL,6490,6490,85,85
FL,27200,33690,1183,1268
FL,21074,54764,1183,2451
FL,95017,149781,1054,3505
FL,315249,465030,3338,6843
FL,151599,616629,4344,11187
FL,81422,698051,3130,14317
FL,93946,791997,2444,16761
FL,59828,851825,611,17372
GA,0,0,0,0
GA,0,0,0,0
GA,4585,4585,130,130
GA,21510,26095,981,1111
GA,20914,47009,941,2052
GA,34282,81291,753,2805
GA,105061,186352,947,3752
GA,84119,270471,1881,5633
GA,47555,318026,1388,7021
GA,42764,360790,958,7979
GA,56086,416876,902,8881
HI,0,0,0,0
HI,0,0,0,0
HI,185,185,1,1
HI,377,607,15,16
HI,45,626,1,17
HI,235,842,1,18
HI,1147,1989,8,26
HI,5846,7835,44,70
HI,4754,12589,66,136
HI,2406,14995,82,218
HI,1176,16171,3,221
IA,0,0,0,0
IA,0,0,0,0
IA,497,497,7,7
IA,6648,7145,155,162
IA,12407,19552,372,534
IA,9395,28947,180,714
IA,15635,44582,153,867
IA,20241,64823,249,1116
IA,24007,88830,230,1346
IA,39136,127966,370,1716
IA,43277,171243,215,1931
ID,0,0,0,0
ID,0,0,0,0
ID,525,525,9,9
ID,1490,2015,54,63
ID,824,2839,19,82
ID,3278,6117,10,92
ID,14604,20721,97,189
ID,11367,32088,172,361
ID,9960,42048,108,469
ID,22560,64608,160,629
ID,13671,78279,120,749
IL,2,2,0,0
IL,0,2,0,0
IL,5992,5994,99,99
IL,46924,52918,2256,2355
IL,67342,120260,3035,5390
IL,23978,144238,1734,7124
IL,35880,180118,568,7692
IL,56607,236725,543,8235
IL,59038,295763,681,8916
IL,120796,416559,1124,10040
IL,119983,536542,806,10846
IN,0,0,0,0
IN,0,0,0,0
IN,2159,2159,49,49
IN,15676,17835,1065,1114
IN,16739,34574,1020,2134
IN,11020,45594,506,2640
IN,20560,66154,325,2965
IN,28042,94196,331,3296
IN,25823,120019,336,3632
IN,59339,179358,700,4332
IN,51607,230965,481,4813
KS,0,0,0,0
KS,0,0,0,0
KS,428,428,9,9
KS,3810,4238,120,129
KS,5481,9719,79,208
KS,4724,14443,62,270
KS,13369,27812,88,358
KS,14800,42612,88,446
KS,17137,59749,232,678
KS,25432,85181,351,1029
KS,24044,109225,186,1215
KY,0,0,0,0
KY,0,0,0,0
KY,591,591,18,18
KY,4117,4708,222,240
KY,4996,9704,191,431
KY,5920,15624,134,565
KY,14527,30151,170,735
KY,18245,48396,198,933
KY,20444,68840,241,1174
KY,38379,107219,311,1485
KY,22461,129680,137,1622
LA,0,0,0,0
LA,0,0,0,0
LA,5237,5237,239,239
LA,22807,28044,1666,1905
LA,11872,39916,886,2791
LA,18179,58095,430,3221
LA,58185,116280,728,3949
LA,32614,148894,1001,4950
LA,18564,167458,561,5511
LA,19191,186649,408,5919
LA,11882,198531,178,6097
MA,0,0,0,0
MA,1,1,0,0
MA,6619,6620,89,89
MA,55585,62205,3473,3562
MA,34760,96965,3284,6846
MA,11917,108882,1208,8095
MA,8730,117612,555,8609
MA,10590,128202,451,9060
MA,11447,139649,390,9450
MA,24768,164417,524,9974
MA,20432,184849,249,10223
MD,0,0,0,0
MD,0,0,0,0
MD,1660,1660,18,18
MD,21812,23472,1174,1192
MD,29855,53327,1360,2552
MD,14591,67918,653,3205
MD,21447,89365,301,3506
MD,19498,108863,255,3761
MD,16647,125510,188,3949
MD,20635,146145,203,4152
MD,15624,161769,121,4273
ME,0,0,0,0
ME,0,0,0,0
ME,303,303,5,5
ME,820,1123,50,55
ME,1226,2349,34,89
ME,945,3294,16,105
ME,643,3937,18,123
ME,611,4548,9,132
ME,883,5431,10,142
ME,1237,6668,5,147
ME,1971,8639,15,162
MI,0,0,0,0
MI,0,0,0,0
MI,7615,7615,259,259
MI,33764,41379,3530,3789
MI,16018,57397,1702,5491
MI,13331,70728,702,6193
MI,19846,90574,257,6450
MI,22451,113025,303,6753
MI,24989,138014,330,7083
