STATE,POSTCODE,EVICINTN,EVICINRESUME,RNTGP,UTILGAS_SO2,UTILGAS_END,UTILELEC_SO,UTILELEC_END,UTILWAT_SO,UTILWAT_END,UTILTEL_SO,UTILTEL_END,MORGFR,MINWAGE2020,evic_dur,elec_dur,wat_dur,tel_dur
Alabama,AL,0,2020-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0
Alaska,AK,2020-03-23 00:00:00,2020-04-24 00:00:00,0,2020-04-09 00:00:00,0,2020-04-09 00:00:00,0,2020-04-09 00:00:00,0,2020-04-09 00:00:00,0,0,$10.19 ,32.0,0,0,0
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,$12.00 ,0,0,0,0
Arkansas,AR,0,0,0,2020-04-10 00:00:00,0,2020-04-10 00:00:00,0,2020-04-10 00:00:00,0,0,0,0,$10.00 ,0,0,0,0
California,CA,0,2020-05-31 00:00:00,0,2020-03-17 00:00:00,0,2020-03-17 00:00:00,0,2020-03-17 00:00:00,0,2020-03-17 00:00:00,0,0,$13.00 ,0,0,0,0
Colorado,CO,2020-04-30 00:00:00,2020-06-13 00:00:00,0,2020-03-20 00:00:00,2020-06-13 00:00:00,2020-03-20 00:00:00,2020-06-13 00:00:00,2020-03-20 00:00:00,2020-06-13 00:00:00,0,0,0,$12.00 ,44.0,85.0,85.0,0
Connecticut,CT,2020-04-10 00:00:00,0,1,2020-03-12 00:00:00,0,2020-03-12 00:00:00,0,2020-03-12 00:00:00,0,0,0,0,$12.00 ,0,0,0,0
Delaware,DE,2020-03-17 00:00:00,2020-07-01 00:00:00,0,2020-03-24 00:00:00,2020-07-01 00:00:00,2020-03-24 00:00:00,2020-07-01 00:00:00,2020-03-24 00:00:00,2020-07-01 00:00:00,2020-03-24 00:00:00,2020-07-01 00:00:00,0,$9.75 ,106.0,99.0,99.0,99.0
Florida,FL,2020-04-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,$8.56 ,0,0,0,0
Georgia,GA,0,0,0,0,0,0,0,0,0,0,0,0,$5.15 ,0,0,0,0
Hawaii,HI,2020-04-16 00:00:00,0,0,2020-05-04 00:00:00,0,2020-05-04 00:00:00,0,2020-05-04 00:00:00,0,2020-05-04 00:00:00,0,0,$10.10 ,0,0,0,0
Idaho,ID,2020-03-16 00:00:00,2020-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,$7.25 ,46.0,0,0,0
Illinois,IL,2020-04-23 00:00:00,0,0,2020-03-18 00:00:00,0,2020-03-18 00:00:00,0,2020-03-18 00:00:00,0,0,0,0,$10.00 ,0,0,0,0
Indiana,IN,2020-03-19 00:00:00,2020-08-15 00:00:00,0,2020-03-19 00:00:00,2020-08-14 00:00:00,2020-03-19 00:00:00,2020-08-14 00:00:00,2020-03-19 00:00:00,2020-08-14 00:00:00,2020-03-19 00:00:00,2020-08-14 00:00:00,0,$7.25 ,149.0,148.0,148.0,148.0
Iowa,IA,2020-03-19 00:00:00,2020-05-28 00:00:00,0,2020-03-27 00:00:00,2020-07-01 00:00:00,2020-03-27 00:00:00,2020-07-01 00:00:00,2020-03-27 00:00:00,2020-07-01 00:00:00,0,0,0,$7.25 ,70.0,96.0,96.0,0
Kansas,KS,2020-03-17 00:00:00,2020-05-31 00:00:00,0,2020-03-16 00:00:00,2020-05-31 00:00:00,2020-03-16 00:00:00,2020-05-31 00:00:00,2020-03-16 00:00:00,2020-05-31 00:00:00,2020-03-16 00:00:00,2020-05-31 00:00:00,0,$7.25 ,75.0,76.0,76.0,76.0
Kentucky,KY,2020-04-01 00:00:00,2020-08-01 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,0,$7.25 ,122.0,0,0,0
Louisiana,LA,2020-03-17 00:00:00,2020-06-15 00:00:00,0,2020-03-13 00:00:00,2020-07-16 00:00:00,2020-03-13 00:00:00,2020-07-16 00:00:00,2020-03-13 00:00:00,2020-07-16 00:00:00,2020-03-13 00:00:00,2020-07-16 00:00:00,0,.,90.0,125.0,125.0,125.0
Maine,ME,0,2020-08-03 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,0,$12.00 ,0,0,0,0
Maryland,MD,2020-03-16 00:00:00,2020-07-25 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,0,$11.00 ,131.0,0,0,0
