Date,State,Year,Month,Employed,%_employed,Unemployed,%_unemployed,Date
2020-01-01,Alabama,2020,01,2186652,56.5,61069,2.7   ,2020-01-01
2020-01-01,Alaska,2020,01,325347,59.8,20931,6.0   ,2020-01-01
2020-01-01,Arizona,2020,01,3442732,59.6,162073,4.5   ,2020-01-01
2020-01-01,Arkansas,2020,01,1318240,56.1,48068,3.5   ,2020-01-01
2020-01-01,California,2020,01,18756375,60.2,753269,3.9   ,2020-01-01
2020-01-01,Colorado,2020,01,3101414,67.6,79407,2.5   ,2020-01-01
2020-01-01,Connecticut,2020,01,1857116,64.4,72224,3.7   ,2020-01-01
2020-01-01,Delaware,2020,01,469519,59.9,19398,4.0   ,2020-01-01
2020-01-01,Florida,2020,01,10148929,57.8,291383,2.8   ,2020-01-01
2020-01-01,Georgia,2020,01,4988005,60.4,159611,3.1   ,2020-01-01
2020-01-01,Hawaii,2020,01,650377,59.6,17792,2.7   ,2020-01-01
2020-01-01,Idaho,2020,01,865321,62.4,24748,2.8   ,2020-01-01
2020-01-01,Illinois,2020,01,6189437,61.9,227789,3.5   ,2020-01-01
2020-01-01,Indiana,2020,01,3286146,62.4,106776,3.1   ,2020-01-01
2020-01-01,Iowa,2020,01,1704978,68.9,49726,2.8   ,2020-01-01
2020-01-01,Kansas,2020,01,1447063,64.8,46871,3.1   ,2020-01-01
2020-01-01,Kentucky,2020,01,1994520,57.0,90232,4.3   ,2020-01-01
2020-01-01,Louisiana,2020,01,1995892,55.8,111315,5.3   ,2020-01-01
2020-01-01,Maine,2020,01,672966,60.4,21208,3.1   ,2020-01-01
2020-01-01,Maryland,2020,01,3167463,66.4,109061,3.3   ,2020-01-01
2020-01-01,Massachusetts,2020,01,3729899,66.0,106249,2.8   ,2020-01-01
2020-01-01,Michigan,2020,01,4759515,59.5,187209,3.8   ,2020-01-01
2020-01-01,Minnesota,2020,01,3023966,68.1,98778,3.2   ,2020-01-01
2020-01-01,Mississippi,2020,01,1209534,52.8,69795,5.5   ,2020-01-01
2020-01-01,Missouri,2020,01,3001253,62.2,110281,3.5   ,2020-01-01
2020-01-01,Montana,2020,01,517842,60.6,18678,3.5   ,2020-01-01
2020-01-01,Nebraska,2020,01,1009700,67.9,30613,2.9   ,2020-01-01
2020-01-01,Nevada,2020,01,1498971,61.1,56299,3.6   ,2020-01-01
2020-01-01,New Hampshire,2020,01,758262,67.4,19940,2.6   ,2020-01-01
2020-01-01,New Jersey,2020,01,4379423,61.9,172261,3.8   ,2020-01-01
