STATE,POSTCODE,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,END_BSNS,CLSCHOOL,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CLDAYCR,OPNCLDCR,CLNURSHM,sthm_duration,clbsns_duration,clrest_duruation,clgym_duration,clmov_duration,clbar_duration,clchildcare_duration
Alabama,AL,2020-04-04,,2020-04-30,2020-03-28,2020-04-30,2020-03-20,2020-03-19,2020-05-11,,2020-03-28,2020-05-11,2020-03-28,2020-05-22,2020-03-19,2020-05-11,2020-05-11,2020-05-11,2020-04-30,2020-03-20,2020-05-23,2020-03-19,26.0,33.0,53.0,44.0,55.0,53.0,64.0
Alaska,AK,2020-03-28,,2020-04-24,2020-03-24,2020-04-24,2020-03-16,2020-03-18,2020-04-24,,2020-03-18,2020-05-08,2020-03-18,2020-05-08,2020-03-18,2020-05-08,2020-04-24,2020-05-08,2020-04-24,,,,27.0,31.0,37.0,51.0,51.0,51.0,
Arizona,AZ,2020-03-31,,2020-05-16,2020-03-31,2020-05-08,2020-03-16,2020-03-21,2020-05-11,,2020-03-21,2020-05-13,2020-03-21,2020-05-16,2020-03-21,2020-05-16,2020-05-08,,2020-05-08,,,,46.0,38.0,51.0,53.0,56.0,56.0,
Arkansas,AR,,,,2020-04-06,2020-05-04,2020-03-17,2020-03-20,2020-05-11,,2020-03-20,2020-05-04,2020-03-20,2020-05-18,2020-03-20,2020-05-19,2020-05-06,,2020-05-18,,,2020-03-13,,28.0,52.0,45.0,59.0,60.0,
California,CA,2020-03-19,,,2020-03-19,2020-05-08,2020-03-23,2020-03-16,2020-05-18,,2020-03-19,,2020-03-19,,2020-03-16,,2020-08-28,2020-05-25,2020-05-08,,,,,50.0,63.0,,,,
Colorado,CO,2020-03-26,,2020-04-27,2020-03-19,2020-05-01,2020-03-23,2020-03-17,2020-05-27,,2020-03-17,2020-06-04,2020-03-17,2020-06-18,2020-03-17,2020-06-18,2020-05-01,2020-06-04,2020-05-01,,,2020-03-12,32.0,43.0,71.0,79.0,93.0,93.0,
Connecticut,CT,,2020-03-23,2020-05-20,2020-03-23,2020-05-20,2020-03-17,2020-03-16,2020-05-20,,2020-03-16,2020-06-17,2020-03-16,2020-06-17,2020-03-16,,2020-06-01,2020-05-29,2020-05-20,,,2020-03-09,,58.0,65.0,93.0,93.0,,
Delaware,DE,2020-03-24,,2020-06-01,2020-03-24,2020-05-08,2020-03-16,2020-03-16,2020-06-01,,2020-03-19,2020-06-01,2020-03-19,2020-06-01,2020-03-16,2020-06-15,2020-06-08,2020-05-20,2020-05-20,2020-04-06,2020-06-15,,69.0,45.0,77.0,74.0,74.0,91.0,70.0
Florida,FL,2020-04-03,,2020-05-18,2020-04-03,2020-05-18,2020-03-17,2020-04-03,2020-05-18,,2020-04-03,2020-05-18,2020-04-03,2020-06-05,2020-03-17,2020-06-05,2020-05-11,,2020-05-18,,,2020-03-15,45.0,45.0,45.0,45.0,63.0,80.0,
Georgia,GA,2020-04-03,,2020-05-01,2020-04-03,2020-05-01,2020-03-18,2020-04-03,2020-04-27,,2020-04-03,2020-04-24,2020-04-03,2020-04-27,2020-03-24,2020-06-01,2020-04-24,,2020-04-23,,,2020-04-03,28.0,28.0,24.0,21.0,24.0,69.0,
Hawaii,HI,2020-03-25,2020-05-07,2020-05-31,2020-03-25,2020-05-07,2020-03-16,2020-03-17,2020-06-05,,2020-03-25,2020-06-19,2020-03-17,2020-06-19,2020-03-17,2020-06-26,2020-05-29,2020-05-23,2020-05-07,,,2020-03-17,67.0,43.0,80.0,86.0,94.0,101.0,
Idaho,ID,2020-03-25,,2020-05-01,2020-03-25,2020-05-01,2020-03-24,2020-03-25,2020-05-16,,2020-03-25,2020-05-16,2020-03-25,2020-05-30,2020-03-25,2020-05-30,2020-05-16,2020-05-01,2020-05-01,,,,37.0,37.0,52.0,52.0,66.0,66.0,
Illinois,IL,2020-03-21,,2020-05-29,2020-03-21,2020-05-29,2020-03-17,2020-03-16,2020-05-29,,2020-03-21,2020-05-29,2020-03-21,2020-06-26,2020-03-16,2020-06-26,2020-05-29,2020-05-01,2020-05-29,2020-03-23,2020-05-29,,69.0,69.0,74.0,69.0,97.0,102.0,67.0
Indiana,IN,2020-03-25,,2020-05-18,2020-03-25,2020-05-18,2020-03-20,2020-03-16,2020-05-18,,2020-03-25,2020-06-01,2020-03-25,2020-06-12,2020-03-16,2020-06-12,2020-05-18,2020-05-08,2020-05-18,,,,54.0,54.0,63.0,68.0,79.0,88.0,
Iowa,IA,,,,2020-03-26,2020-05-15,2020-04-02,2020-03-17,2020-05-15,,2020-03-17,2020-05-15,2020-03-17,2020-05-22,2020-03-17,2020-05-28,2020-05-15,2020-05-01,2020-05-15,,,,,50.0,59.0,59.0,66.0,72.0,
Kansas,KS,2020-03-30,,2020-05-04,2020-03-30,2020-05-04,2020-03-18,2020-03-30,2020-05-04,,2020-03-30,2020-05-18,2020-03-30,2020-05-22,2020-03-30,2020-06-08,2020-05-18,2020-05-04,2020-05-04,,,,35.0,35.0,35.0,49.0,53.0,70.0,
Kentucky,KY,,2020-03-26,,2020-03-26,2020-05-11,2020-03-17,2020-03-16,2020-05-22,,2020-03-18,2020-06-01,2020-03-18,2020-06-01,2020-03-16,2020-06-29,2020-05-25,2020-05-09,2020-05-20,2020-03-23,2020-06-08,,,46.0,67.0,75.0,75.0,105.0,77.0
Louisiana,LA,2020-03-23,,2020-05-15,2020-03-23,2020-05-01,2020-03-16,2020-03-17,2020-05-01,,2020-03-17,2020-05-15,2020-03-17,2020-05-15,2020-03-17,2020-06-05,2020-05-15,2020-05-15,2020-05-15,,,2020-03-12,53.0,39.0,45.0,59.0,59.0,80.0,
Maine,ME,2020-04-02,,2020-05-31,2020-03-25,2020-05-01,2020-04-02,2020-03-18,2020-06-01,,2020-03-25,2020-06-17,2020-03-25,2020-07-01,2020-03-18,2020-06-17,2020-06-17,2020-05-29,2020-06-01,,,,59.0,37.0,75.0,84.0,98.0,91.0,
Maryland,MD,2020-03-30,,2020-05-15,2020-03-23,2020-05-15,2020-03-16,2020-03-16,2020-05-29,,2020-03-16,2020-06-19,2020-03-16,2020-09-01,2020-03-16,2020-06-12,2020-05-15,2020-05-15,2020-05-15,2020-03-30,2020-06-19,2020-04-05,46.0,53.0,74.0,95.0,169.0,88.0,81.0
Massachusetts,MA,2020-03-24,,2020-05-18,2020-03-24,2020-05-18,2020-03-17,2020-03-17,2020-06-08,,2020-03-24,2020-07-13,2020-03-24,2020-07-13,2020-03-17,,2020-05-25,2020-05-18,2020-06-08,2020-03-23,2020-06-08,2020-03-16,55.0,55.0,83.0,111.0,111.0,,77.0
Michigan,MI,2020-03-24,,2020-06-01,2020-03-24,2020-05-26,2020-03-16,2020-03-16,2020-06-08,,2020-03-16,2020-09-09,2020-03-16,2020-10-09,2020-03-16,2020-06-08,2020-06-15,,2020-06-04,2020-03-24,2020-06-08,2020-03-14,69.0,63.0,84.0,177.0,207.0,84.0,76.0
Minnesota,MN,2020-03-28,,2020-05-18,2020-03-28,2020-04-27,2020-03-18,2020-03-17,2020-06-01,,2020-03-17,2020-06-10,2020-03-17,2020-06-10,2020-03-17,2020-06-10,2020-06-01,2020-05-18,2020-05-18,,,,51.0,30.0,76.0,85.0,85.0,85.0,
Mississippi,MS,2020-04-03,,2020-04-27,2020-04-03,2020-04-27,2020-03-20,2020-04-03,2020-05-07,,2020-04-03,2020-05-11,2020-04-03,2020-06-01,2020-04-03,2020-06-01,2020-05-11,,2020-04-27,,,2020-03-24,24.0,24.0,34.0,38.0,59.0,59.0,
Missouri,MO,2020-04-06,,2020-05-04,2020-04-03,2020-05-04,2020-03-23,2020-03-23,2020-05-04,,2020-04-03,2020-05-04,2020-04-03,,2020-03-23,2020-05-04,2020-05-04,2020-05-27,2020-05-04,,,2020-03-23,28.0,31.0,42.0,31.0,,42.0,
Montana,MT,2020-03-28,,2020-04-26,2020-03-28,2020-04-27,2020-03-16,2020-03-20,2020-05-04,,2020-03-20,2020-05-15,2020-03-20,2020-05-15,2020-03-20,2020-05-04,2020-04-27,2020-04-26,2020-04-27,,,2020-03-15,29.0,30.0,45.0,56.0,56.0,45.0,
Nebraska,NE,,,,2020-04-09,2020-06-01,2020-04-03,2020-04-03,2020-06-01,,2020-04-03,,2020-04-09,2020-06-22,2020-04-03,2020-06-22,2020-06-01,2020-05-04,,,,,,53.0,59.0,,74.0,80.0,
Nevada,NV,2020-03-31,,2020-05-09,2020-03-21,2020-05-09,2020-03-16,2020-03-21,2020-05-09,,2020-03-21,2020-05-29,2020-03-21,2020-05-29,2020-03-21,2020-05-29,2020-05-09,2020-05-29,2020-05-09,,,,39.0,49.0,49.0,69.0,69.0,69.0,
New Hampshire,NH,2020-03-28,,2020-06-16,2020-03-28,2020-05-11,2020-03-16,2020-03-16,2020-05-18,,2020-03-28,2020-06-01,2020-03-28,2020-06-29,2020-03-16,2020-06-15,2020-05-11,2020-05-29,2020-05-11,,,2020-03-16,80.0,44.0,63.0,65.0,93.0,91.0,
New Jersey,NJ,2020-03-21,,2020-06-09,2020-03-21,2020-05-18,2020-03-18,2020-03-16,2020-06-15,,2020-03-16,2020-09-01,2020-03-16,2020-09-04,2020-03-16,2020-06-15,2020-06-22,2020-06-09,2020-06-15,2020-03-18,2020-06-15,2020-06-19,80.0,58.0,91.0,169.0,172.0,91.0,89.0
New Mexico,NM,2020-03-24,,,2020-03-24,2020-05-16,2020-03-16,2020-03-20,2020-05-27,,2020-03-19,2020-06-01,2020-03-19,,2020-03-19,,2020-06-01,2020-05-16,2020-05-16,,,2020-03-13,,53.0,68.0,74.0,,,
New York,NY,2020-03-22,,2020-06-27,2020-03-22,2020-06-08,2020-03-18,2020-03-17,2020-06-22,,2020-03-16,,2020-03-16,,2020-03-16,,2020-06-22,2020-06-22,2020-06-08,,,2020-03-13,97.0,78.0,97.0,,,,
North Carolina,NC,2020-03-30,,2020-05-22,2020-03-30,2020-05-08,2020-03-16,2020-03-18,2020-05-22,,2020-03-25,2020-09-04,2020-03-25,,2020-03-17,,2020-05-22,2020-05-16,2020-05-08,,,2020-03-25,53.0,39.0,65.0,163.0,,,
North Dakota,ND,,,,2020-03-20,2020-05-01,2020-03-16,2020-03-21,2020-05-01,,2020-03-20,2020-05-01,2020-03-20,2020-05-01,2020-03-20,2020-05-01,2020-05-01,,2020-05-01,,,2020-04-06,,42.0,41.0,42.0,42.0,42.0,
Ohio,OH,2020-03-24,,2020-05-20,2020-03-24,2020-05-04,2020-03-17,2020-03-16,2020-05-15,,2020-03-17,2020-05-22,2020-03-17,2020-06-10,2020-03-15,2020-05-15,2020-05-15,,2020-05-12,2020-03-26,2020-05-31,2020-03-11,57.0,41.0,60.0,66.0,85.0,61.0,66.0
Oklahoma,OK,,2020-04-01,2020-05-15,2020-04-01,2020-04-24,2020-03-17,2020-04-01,2020-05-01,,2020-04-01,2020-05-01,2020-04-01,2020-05-01,2020-04-01,2020-05-15,2020-04-24,2020-05-01,2020-04-24,,,2020-03-24,,23.0,30.0,30.0,30.0,44.0,
Oregon,OR,2020-03-23,,2020-06-19,2020-03-23,2020-05-15,2020-03-16,2020-03-18,2020-06-19,,2020-03-24,2020-06-19,2020-03-24,,2020-03-17,2020-06-19,2020-06-19,2020-05-15,2020-05-15,2020-03-25,2020-05-16,2020-03-16,88.0,53.0,93.0,87.0,,94.0,52.0
Pennsylvania,PA,2020-04-01,,2020-06-05,2020-03-21,2020-06-05,2020-03-16,2020-03-18,2020-06-05,,2020-03-21,2020-07-03,2020-03-21,2020-07-03,2020-03-18,2020-06-05,2020-07-03,,2020-06-05,2020-03-17,2020-06-05,2020-03-17,65.0,76.0,79.0,104.0,104.0,79.0,80.0
Rhode Island,RI,2020-03-28,,2020-05-09,2020-03-30,2020-05-09,,2020-03-18,2020-05-18,,2020-03-23,2020-06-01,2020-03-23,2020-06-30,2020-03-17,2020-06-01,2020-06-01,2020-05-30,2020-05-09,2020-03-16,2020-06-01,2020-03-13,42.0,40.0,61.0,70.0,99.0,76.0,77.0
South Carolina,SC,2020-04-07,,2020-05-04,2020-04-01,2020-04-20,2020-03-16,2020-03-19,2020-05-04,,2020-04-01,2020-05-18,2020-04-01,2020-08-03,2020-03-18,2020-05-04,2020-05-18,,2020-04-20,,,2020-03-15,27.0,19.0,46.0,47.0,124.0,47.0,
South Dakota,SD,,,,,,2020-03-16,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TN,2020-04-02,,2020-04-29,2020-04-01,2020-04-27,2020-03-20,2020-03-24,2020-04-27,,2020-03-23,2020-05-01,2020-03-23,2020-05-22,2020-03-23,2020-05-22,2020-05-06,,2020-04-27,,,2020-03-23,27.0,26.0,34.0,39.0,60.0,60.0,
Texas,TX,,2020-04-02,2020-05-01,2020-04-02,2020-05-01,2020-03-21,2020-03-21,2020-05-01,,2020-03-21,2020-05-18,2020-04-02,2020-05-01,2020-03-21,2020-05-29,2020-05-08,,2020-05-01,,,2020-03-21,,29.0,41.0,58.0,29.0,69.0,
Utah,UT,,,,2020-03-27,,2020-03-16,2020-03-20,2020-05-01,,2020-03-27,,2020-03-27,,2020-03-19,2020-05-01,2020-05-01,2020-05-06,,,,,,,42.0,,,43.0,
Vermont,VT,2020-03-24,,2020-05-15,2020-03-25,2020-04-27,2020-03-18,2020-03-18,2020-05-22,,2020-03-23,2020-06-01,2020-03-25,2020-06-01,2020-03-17,2020-05-22,2020-05-29,2020-05-23,2020-04-27,2020-03-18,2020-06-01,2020-03-13,52.0,33.0,65.0,70.0,68.0,66.0,75.0
Virginia,VA,2020-03-30,,2020-05-29,2020-03-25,2020-05-29,2020-03-16,2020-03-26,2020-05-29,,2020-03-25,2020-06-12,2020-03-25,2020-07-01,2020-03-25,2020-05-29,2020-05-29,2020-05-29,2020-05-29,,,,60.0,65.0,64.0,79.0,98.0,65.0,
Washington,WA,2020-03-23,,2020-06-01,2020-03-25,2020-06-01,2020-03-17,2020-03-16,2020-07-03,,2020-03-16,2020-08-27,2020-03-16,,2020-03-17,2020-07-03,2020-07-03,2020-06-01,2020-07-03,,,2020-03-16,70.0,68.0,109.0,164.0,,108.0,
West Virginia,WV,2020-03-24,,2020-05-05,2020-03-24,2020-05-04,2020-03-16,2020-03-19,2020-05-04,,2020-03-19,2020-05-18,2020-03-24,2020-06-05,2020-03-18,2020-05-26,2020-05-04,,2020-05-21,2020-03-26,2020-04-30,2020-08-13,42.0,41.0,46.0,60.0,73.0,69.0,35.0
