Date,State,Opioid Deaths,Number of Deaths,Number of Drug Overdose Deaths
2015-01-01,AK,,4034.0,126.0
2015-02-01,AK,,4084.0,127.0
2015-03-01,AK,,4101.0,125.0
2015-04-01,AK,,4133.0,126.0
2015-05-01,AK,,4196.0,125.0
2015-06-01,AK,,4201.0,121.0
2015-07-01,AK,,4220.0,117.0
2015-08-01,AK,,4222.0,124.0
2015-09-01,AK,,4242.0,125.0
2015-10-01,AK,86.0,4241.0,120.0
2015-11-01,AK,79.0,4219.0,115.0
2015-12-01,AK,,4193.0,121.0
2016-01-01,AK,90.0,4213.0,126.0
2016-02-01,AK,91.0,4198.0,128.0
2016-03-01,AK,90.0,4230.0,125.0
2016-04-01,AK,95.0,4262.0,132.0
2016-05-01,AK,103.0,4241.0,140.0
2016-06-01,AK,102.0,4261.0,138.0
2016-07-01,AK,107.0,4269.0,143.0
2016-08-01,AK,100.0,4276.0,138.0
2016-09-01,AK,96.0,4256.0,131.0
2016-10-01,AK,94.0,4291.0,131.0
2016-11-01,AK,99.0,4289.0,133.0
2016-12-01,AK,96.0,4355.0,129.0
2017-01-01,AK,93.0,4374.0,126.0
2017-02-01,AK,90.0,4347.0,124.0
2017-03-01,AK,87.0,4359.0,126.0
2017-04-01,AK,78.0,4325.0,117.0
2017-05-01,AK,81.0,4277.0,120.0
2017-06-01,AK,85.0,4276.0,122.0
2017-07-01,AK,91.0,4236.0,128.0
2017-08-01,AK,99.0,4234.0,137.0
2017-09-01,AK,106.0,4299.0,148.0
2017-10-01,AK,103.0,4283.0,144.0
2017-11-01,AK,97.0,4308.0,138.0
2017-12-01,AK,100.0,4279.0,141.0
2018-01-01,AK,100.0,4259.0,138.0
2018-02-01,AK,102.0,4303.0,139.0
2018-03-01,AK,101.0,4285.0,136.0
2018-04-01,AK,102.0,4340.0,142.0
2018-05-01,AK,88.0,4351.0,126.0
2018-06-01,AK,85.0,4308.0,125.0
2018-07-01,AK,76.0,4337.0,116.0
2018-08-01,AK,73.0,4383.0,110.0
2018-09-01,AK,65.0,4324.0,100.0
2018-10-01,AK,65.0,4309.0,99.0
2018-11-01,AK,68.0,4333.0,106.0
2018-12-01,AK,65.0,4333.0,105.0
2019-01-01,AK,65.0,4357.0,107.0
2019-02-01,AK,71.0,4386.0,115.0
2019-03-01,AK,79.0,4441.0,124.0
2019-04-01,AK,78.0,4405.0,119.0
2019-05-01,AK,80.0,4460.0,128.0
2019-06-01,AK,81.0,4517.0,132.0
2019-07-01,AK,83.0,4475.0,135.0
2019-08-01,AK,78.0,4457.0,130.0
2019-09-01,AK,84.0,4473.0,136.0
2019-10-01,AK,92.0,4482.0,146.0
2019-11-01,AK,88.0,4503.0,139.0
2019-12-01,AK,83.0,4528.0,133.0
2020-01-01,AK,80.0,4545.0,134.0
2020-02-01,AK,73.0,4549.0,125.0
2020-03-01,AK,69.0,4498.0,117.0
2020-04-01,AK,74.0,4513.0,120.0
2020-05-01,AK,84.0,4510.0,128.0
2015-01-01,AL,,49543.0,715.0
2015-02-01,AL,,50004.0,723.0
2015-03-01,AL,,50486.0,733.0
2015-04-01,AL,,50565.0,738.0
2015-05-01,AL,,50516.0,755.0
2015-06-01,AL,,50658.0,756.0
2015-07-01,AL,,50841.0,743.0
