,State,Date,%_death
60,AK,2020-01-01,2.95
61,AK,2020-02-01,2.75
62,AK,2020-03-01,2.6
63,AK,2020-04-01,2.66
64,AK,2020-05-01,2.84
125,AL,2020-01-01,1.42
126,AL,2020-02-01,1.43
127,AL,2020-03-01,1.47
128,AL,2020-04-01,1.51
129,AL,2020-05-01,1.58
190,AR,2020-01-01,1.14
191,AR,2020-02-01,1.14
192,AR,2020-03-01,1.19
193,AR,2020-04-01,1.25
194,AR,2020-05-01,1.28
255,AZ,2020-01-01,3.31
256,AZ,2020-02-01,3.34
257,AZ,2020-03-01,3.37
258,AZ,2020-04-01,3.41
259,AZ,2020-05-01,3.48
320,CA,2020-01-01,2.39
321,CA,2020-02-01,2.42
322,CA,2020-03-01,2.47
323,CA,2020-04-01,2.5
324,CA,2020-05-01,2.55
385,CO,2020-01-01,2.78
386,CO,2020-02-01,2.79
387,CO,2020-03-01,2.89
388,CO,2020-04-01,2.93
389,CO,2020-05-01,3.05
450,CT,2020-01-01,3.94
451,CT,2020-02-01,3.96
452,CT,2020-03-01,3.96
453,CT,2020-04-01,3.75
454,CT,2020-05-01,3.59
515,DE,2020-01-01,4.62
516,DE,2020-02-01,4.8
517,DE,2020-03-01,4.84
518,DE,2020-04-01,4.75
519,DE,2020-05-01,4.66
580,FL,2020-01-01,2.68
581,FL,2020-02-01,2.73
582,FL,2020-03-01,2.81
583,FL,2020-04-01,2.9
584,FL,2020-05-01,3.06
645,GA,2020-01-01,1.6
646,GA,2020-02-01,1.63
647,GA,2020-03-01,1.64
648,GA,2020-04-01,1.68
649,GA,2020-05-01,1.71
710,HI,2020-01-01,1.99
711,HI,2020-02-01,1.91
712,HI,2020-03-01,1.99
713,HI,2020-04-01,2.04
714,HI,2020-05-01,2.19
775,IA,2020-01-01,1.12
776,IA,2020-02-01,1.17
777,IA,2020-03-01,1.21
778,IA,2020-04-01,1.25
779,IA,2020-05-01,1.26
840,ID,2020-01-01,1.83
841,ID,2020-02-01,1.79
842,ID,2020-03-01,1.73
843,ID,2020-04-01,1.72
844,ID,2020-05-01,1.79
905,IL,2020-01-01,2.67
906,IL,2020-02-01,2.75
907,IL,2020-03-01,2.8
908,IL,2020-04-01,2.83
909,IL,2020-05-01,2.86
970,IN,2020-01-01,2.62
971,IN,2020-02-01,2.66
972,IN,2020-03-01,2.66
973,IN,2020-04-01,2.72
974,IN,2020-05-01,2.82
1035,KS,2020-01-01,1.44
1036,KS,2020-02-01,1.42
1037,KS,2020-03-01,1.44
1038,KS,2020-04-01,1.41
1039,KS,2020-05-01,1.43
1100,KY,2020-01-01,2.8
1101,KY,2020-02-01,2.88
1102,KY,2020-03-01,2.95
1103,KY,2020-04-01,3.05
1104,KY,2020-05-01,3.31
1165,LA,2020-01-01,2.88
1166,LA,2020-02-01,2.88
1167,LA,2020-03-01,2.94
1168,LA,2020-04-01,2.97
1169,LA,2020-05-01,3.11
